Song_Name,Lyrics
City Walls,"Square up with me, I can take your right, throw a left
 Pair up with me, I'm a take you right to the chest
 Warpath etched in the surface
 Lines of the yellow tape, they're moving quiet like a
 Serpentine in a formation
 Buddy, that's my team, pretty impatient
 Now they're waiting on me
 It might be the furthest we've reached
 Now move it up, move it up, it's a breach

 I wonder where you are
 I wanted you to show me
 The way around the city walls
 The way on through
 I wonder where you are
 I wanted you to show me
 But now the night has fallen
 Abandoned by the sun

 Square up with me, I can come to you, tell me when
 Pair up with me, I can run on you, in the end
 I write a promise in pencil, but my loyalty's in pen
 Use a mistake as a crooked stencil, then we trace it back again
 From the mainland to the island of violence
 It was the same plan for a while, decided
 To send me up and rip you outta your seat
 You see, in a city with no entrance, there is not a retreat
 I'm wondering what you thought would happen, who you thought I would be
 Was this a sideswipe or did you picture this in a dream?
 Buckle down, this is possibly the furthest we've reached
 Now move it up, move it up, it's a breach

 I wonder where you are
 I wanted you to show me
 The way around the city walls
 The way on through
 I wonder where you are
 I wanted you to show me
 But now the night has fallen
 Abandoned by the sun
 Abandoned by the sun

 My smile wraps around my head, splitting it in
 Two, two, two, two
 I don't have a clue how I can keep the top half
 Glued, glued, glued, glued
  My smile wraps around my head, splitting it in
 Two, two, two, two
  I don't have a clue how I can keep the top half
 Glued, glued, glued, glued

  I wonder where you are
I wanted you to show me

 Entertain my, entertain my
 Entertain my, entertain my
 Entertain my, entertain my
 Entertain my, entertain my faith
  This is the last time, this is the last time
 Entertain my faith
 This is the last time that I try
 Address my soul, address my soul, address my soul
 Entertain my faith
 This is the last time that I try"
RAWFEAR,"(""Raw fear\n Raw fear\n\n Raw fear moves me, sounds of empty Uzis\n Life is just forever nipping heels, never slowing down\n Raw fear moves me, sounds of empty Uzis\n Life is just forever gripping feels, never slowing down\n\n You know what scares me? Nah, it's stupid\n You've met my fears, they're all regulars\n Wait, who's the new kid?\n You know what kills me? Not getting stronger\n And now I can't seem to sit still any longer\n\n Raw fear moves me, sounds of empty Uzis\n Life is just forever nipping heels, never slowing down\n Raw fear moves me, sounds of empty Uzis\n Life is just forever gripping feels, never slowing down\n (I can't seem to sit still any longer)\n Raw fear moves me, sounds of empty Uzis\n Life is just forever gripping feels, never slowing down\n\n (Never slowing down)\n (Never slowing down)\n (Never, never slowing down)\n (Never slowing down)\n (Never, never slowing down)\n (Never slowing down)\n (Never, never slowing down)\n\n Learning all that really matters is a slow and painful lesson (Never slowing down, never slowing down)\n It is not pass or fail, but a poisonous progression (Never slowing down, never slowing down)\n Try to micro-dose to immunity but you'll never, ever get it (Never slowing down, never slowing down)\n And I go, ah, ah, ah (Never slowing down)\n What's the matter? isn't helping (Never slowing down)\n You go, ooh, ooh, ooh (Never slowing down)\n I wish her parents would stop yelling (Never slowing down)\n I could build a tower with the times I was pretending (Never slowing down)\n Try to micro-dose to immunity but I'll never see the ending (Never slowing down)\n And I go, ah, ah, ah (Never slowing down)\n  What's the matter? isn't helping (Never slowing down)\n You go, ooh, ooh, ooh (Never slowing down)\n I wish her parents would stop yelling\n You know what scares me? (Ah, ah, ah)\n Nah, it's stupid\n And you go, ooh, ooh, ooh\n Wait, who's the new kid? (Never slowing down)\n And you go, ah, ah, ah\n Not getting stronger\n And now I can't seem to sit still any longer\n\n Raw fear moves me, sounds of empty Uzis (Ah, ah, ah)\n Life is just forever nipping heels, never slowing down\n Raw fear moves me, sounds of empty Uzis (Ah, ah, ah)\n Life is just forever gripping feels, never slowing down\n Raw fear moves me, sounds of empty Uzis (Ah, ah, ah)\n Life is just forever nipping heels, never slowing down\n Raw fear moves me, sounds of empty Uzis (Ah, ah, ah)\n Life is just forever gripping feels, never slowing down"",)"
Drum Show,"(""Puttin' on a drum show\n Ooh-ooh\n\n Completed checklist for today\n Now they have to let you out of your cage\n Feelin' stuck between a rock and a home\n Two places you do not want to go\n\n So, so\n He's puttin' on a drum show\n\n Even now, even now, even now\n He'll take the longer way home\n Even now, even now, even now\n He'll never ever say so\n He drives fast just to feel it, feel it (Feel it)\n He drives slow if his song's not over (Feel it)\n Drown it out, drown it out\n\n Show\n Ooh-ooh\n\n He'd rather feel something than nothing at all\n So he swerves all around as his head starts to fall, turns it up\n Stuck between a rock and a home\n Two places he does not want to go\n\n So, so\n He's puttin' on a drum show\n\n Even now, even now, even now\n He'll take the longer way home (I've been this way)\n Even now, even now, even now\n He'll never ever say so (I want to change)\n He drives fast just to feel it, feel it (Feel it)\n He drives slow if his song's not over (Feel it)\n Drown it out, drown it out\n\n I've been this way\n I want to change\n I've been this way\n I want to change\n\n He's puttin' on a drum show\n\n Even now, even now, even now\n He'll take the longer way home (I've been this way)\n Even now, well even now, well even now\n He'll never ever say so (I want to change)\n He drives fast just to feel it, feel it (Feel it)\n He drives slow if his song's not over (I've been this way) (Feel it)\n Drown it out, drown it out (I want to change)\n\n I've been this way (Feel it, feel it)\n I want to change (Feel it, feel it)\n  I've been this way (Feel it, feel it)\n I want to"",)"
Garbage,"(""I didn't do it\n\n I feel like garbage\n I feel like\n My systems are operating at twenty percent\n\n Or less\n I'll walk you through the numbers\n I'll show you nothing's left\n Oh-oh\n\n( Yeah, yeah) I'm biting down on my shirtsleeve\n( Yeah, yeah) I'll lash out if you're in arm's reach\n (Yeah, yeah) I'm so lost, like, what is happening?\n Like, like\n I feel like garbage\n\n Ooh, yeah\n\n I can't decide\n  If I could feel more or I just knew less\nWhen I was younger\n Bright-eyed with wonder\n Do you know which name it's under? (Oh-oh-oh)\n\n Or less\n I'll walk you through the numbers\n I'll show you nothing's left\n Oh-oh\n\n (Yeah, yeah) I'm biting down on my shirt sleeve\n (Yeah, yeah) I'll lash out if you're in arm's reach\n (Yeah, yeah) I'm so lost, like, what is happening?\n Like, what is happening?\n\n Would you move closer if I grew quieter?\n Maybe this is you\n Maybe you don't fix and you like it like this\n\n I feel like garbage (Yeah)\n I feel like garbage\n I feel like (Yeah)\n Like\n\n I'll lash out, lash out, lash out (Hey)\n I'm biting down on my shirt sleeve\n Like, I'll lash out, lash out, lash out\n Don't give up on me\n Don't give up on me\n No, no, no, please, please, please"",)"
The Contract,"(""I check the doors, check the windows and pull the blinds\n I check the clock, wondering what he'll pull this time\n I have a feeling that necromancer's outside\n And I'm just tryin' to stay quiet\n\n I don't sleep much, that's crazy, how'd you know that? (That)\n Keep myself up, that's maybe how you know that (That, that)\n Ooh, promises and contracts I used to keep\n I don't sleep much, that's crazy, how'd you know that? (That)\n Keep myself up, that's maybe how you know that (That, that)\n Ooh, my hallucination I used to see\n\n Wake up and I find out, did a change up\n Wait, did it change up?\n Is it light out yet? Better find out, bet\n I'ma walk around the edge of the room and the bed\n Where I hide my face, pace around\n Better try to breathe, pace around, pace around\n\n I check the doors, check the windows, and pull the blinds\n I check the clock, wondering what he'll pull this time\n I have a feeling that necromancer's outside\n And I'm just tryin' to stay quiet\n\n I don't sleep much, that's crazy, how'd you know that? (That)\n Keep myself up, that's maybe how you know that (That, that)\n Ooh, promises and contracts I used to keep\n I don't sleep much, that's crazy, how'd you know that? (That)\n Keep myself up, that's maybe how you know that (That, that)\n Ooh, my hallucination I used to see\n\nI  used to see\n Sleep I found\n\n (Oh-ooh) I wanna get out there\n (Oh-ooh) But I don't try\n (Oh-ooh) I wanna get out there\n (Oh-ooh) But I don't try\n\n I check the clock, wondering what he'll pull this time\n I have a feeling that necromancer's outside\n And I'm just tryin' to stay quiet\n\n I don't sleep much, that's crazy, how'd you know that? (That)\n I keep myself up, that's maybe how you know that (That, that)\n Ooh, promises and contracts I used to keep\n I don't sleep much, that's crazy, how'd you know that? (That)\n Keep myself up, that's maybe how you know that (That, that)\n Ooh, my hallucination I used to see\n\n I used to see\n I used to see\n Ooh, my hallucination I used to see\n\n I used to see, it felt so real\n But now I plead, just take the deal\n I promised you a contract\n I promised you a contract"",)"
Downstairs,"(""You-ooh-ooh can have all I've made and all I've ever known\n You-ooh-ooh can have both my lungs if you ask me so\n Cause I-I-I want to be the one after your own heart\n And I-I-I might doubt the process like I doubted the start\n\n So I'm begging oh, oh-oh, oh-oh, mercy\n I'm begging oh, oh-oh, oh-oh, mercy\n\n Downstairs, I feel better in the cellar\n Down there, it's some shelter from the weather\n I wear all of my heart on my sleeve\n I'll take what I believe, and I'm hiding it\n Downstairs, I feel better in the cellar\n Down there, it's some shelter from the weather\n I wear all of my heart on my sleeve\n I'll take what I believe, and I'm hiding it\n\n Feeling like I'm nothing\n Feeling like I'm run down\n Was afraid of nothing\n Now I'm just ashamed how\n I hide my face from you\n\n So I'm begging oh, oh-oh, oh-oh, mercy\n I'm begging oh, oh-oh, oh-oh, mercy\n\n Downstairs, I feel better in the cellar\n Down there, it's some shelter from the weather\n I wear all of my heart on my sleeve\n I'll take what I believe, and I'm hiding it\n Downstairs, I feel better in the cellar\n Down there, it's some shelter from the weather\n I wear all of my heart on my sleeve\n I'll take what I believe, and I'm hiding it\n\n Oh, what have I become?\n Dirty and wretched one\n Am I unholy man?\n Have I forced your hand?\n\n Oh, woah-oh, woah-oh, mercy, yeah\n Oh, woah-oh, woah-oh, mercy, yeah\n\n Down there, it's some shelter from the weather\n I wear all of my heart on my sleeve\n I'll take what I believe, and I'm hiding it\n Downstairs, I feel better in the cellar\n Down there, it's some shelter from the weather\n I wear all of my heart on my sleeve\n I'll take what I believe, and I'm hiding it\n Downstairs (You can have), I feel better in the cellar (All I've made)\n Down there, need some shelter from the weather (All I've ever known)\n I wear (You can have) all of my heart on my sleeve (Both my lungs)\n I'll take what I believe, and I'm hiding it, yeah (If you ask me so, oh)\n And I'm hiding it, yeah ('Cause I want to be the one)\n And I'm hiding it, yeah (After your own heart)\n And I'm hiding it, yeah, oh (And I might doubt the process like I doubted the start)\n\n You can have all I've made and all I've ever known\n You can have both my lungs if you ask me so\n Cause I want to be the one after your own heart\n And I might doubt the process like I doubt the start"",)"
Robot Voices,"(""They keep me company\n The robots and machines in my room\n An understanding\n The beeps and tones they make\n The only advice I take, the inside jokes are landing\n Now I'm waitin' for the changes, everyone sees\n Feeling so fancy\n\n And I just wanna dance and style and stay a while\n The lines on the floor, how did you find me?\n\n Woo\n I wasn't lookin' for love this year\n But my robot told me that I shouldn't fear\n When I met you, I found you safe and warm\n Then the robot voices would reassure me\n\n The half-drawn blinds casting lines on the floor as my metal friend flashes in time\n The daisy-chained power strips generating\n A newfound loneliness, I'm waiting for the changes, everyone sees\n Feeling so fancy\n\n And I just wanna dance and style and stay a while\n The lines on the floor, how did you find me?\n\n Woo\n I wasn't lookin' for love this year\n But my robot told me that I shouldn't fear\n When I met you, I found you safe and warm\n Then the robot voices would reassure me\n I wasn't lookin' for love this year\n But my robot told me that I shouldn't fear\n When I met you, I found you safe and warm\n Then the robot voices would reassure me"",)"
Center Mass,"(""(Right)\n I figured out how it's on it (Right this way)\n It goes (Right)\n My death (Right this way)\n Girl, I really don't think you should take that (Stop it)\n\n A little softer than I used to be (Right)\n Used to mouth off often with artillery\n Now it is cough drops and soft spots in a middle seat (Right this way)\n Chivalry\n A tighter space than I used to know (Right)\n Spread out wide no more, pinch my shoulders close\n Hoping they misplace my reservation (Right this way), okay, okay\n\n I thought you had it figured out\n I know, I know\n You said you made it to the top\n I lied, I lied\n So, tell us, how did you make out alright?\n Well\n\n I pull on my shirtsleeve to cover half of my hands\n Bring my arms closer to my body, get as small as I can\n They call it center mass, that part they aim for\n Shrink it down to nothing and forgetting what the pain's for\n I pull on my shirtsleeve (My shirtsleeve), to cover half of my face (Half of my face)\n Bring my arms closer to my body, get as small as they say (Small as they say)\n They call it center mass, that part they aim for (For-for-for-for-for-for)\n\n Right this way if you're frustrated (Right)\n Your first mate in the fifth grade tried to persuade\n Try it once, he was shown on the bus (Right this way)\n Chain's off my huff, anxious enough as it is (Right)\n Gotta walk, never looking up once at the kids in the park\n What a day, getting dark, what a day (Right this way)\n Okay, okay\n\n I thought you had it figured out(I thought you had it figured out)\n I know, I know\n You said you made it to the top (You said you made it to the top)\n I lied, I lied\n So, tell us, how did you make out alright?\n Well\n\n I pull on my shirtsleeve (My shirtsleeve), to cover half of my hands (Half of my hands)\n Bring my arms closer to my body, get as small as I can (Small as I can)\n They call it center mass, that part they aim for\n Shrink it down to nothing and forgetting what the pain's for\n I  pull on my shirtsleeve (My shirtsleeve), to cover half of my face (Half of my face)\n Bring my arms closer to my body, get as small as they say (Small as they say)\n They call it center mass, that part they aim for\n\n Shrink it down to nothing and forgetting what the pain's for\n That part they aim for\n\n Found out what I'm worth, I run to you\n I hope you understand this run-on sentence\n My tattoos only hurt when meaning fades\n I think my skin got worse with good intentions\n I don't want to say what happened, I just want to let it go\n Nothing was the same right after, I went to the funeral\n I miss you so, so much, take what you want\n Take what you want from me\n Took you for granted\n They call it center mass, that part they aim for\n That part they aim for\n That part they aim for\n That part they aim for"",)"
Cottonwood,"(""Can't believe you're gone for good\n Someone chopped you down\n Thought you'd just fall in the woods\n But she heard that sound\n No, I don't, no, I don't remember\n Last we spoke\n No, I don't, no, I don't remember\n\n Remember\n Remember\n Remember\n\n I look back in time through a telescope\n I've been catching my\n I've been catching my\n My reflection already looking\n\n Most are blown down in a storm\n But the wind was tame\n You weren't waiting anymore\n Were you sad or brave?\n No I don't, no, I don't condemn you\n Back and forth\n No I don't, no, I don't condemn you\n\n Condemn you\n Condemn you\n Condemn you\n\n I look back in time through a telescope\n I've been catching my\n I've been catching my\n My reflection already looking\n\n You tore me up more than you know\n You tore me up more than you know\n You tore me up more than you know\n You tore me up\n\n I look back in time through a telescope\n I've been catching my\n I've been catching my\n My reflection already looking"",)"
One Way,"(""I wanted to fly\n But they say a system's coming in\n The chances are high\n That this is a\n One way, one way, one way, one way\n\n Am I dreaming?\n If it's so\n Can I take back who I was before?\n If it's no\n Then all my dreams have\n Not been interesting in a while\n This has not been interesting in a while, while, while\n\n I wanted to fly\n But they say a system's coming in\n The chances are high\n That this is a\n One way, one way, one way, one way, one way (ooh)\n\n Me and my scene just ain't gelling\n Someone next to me keeps yelling\n Why am I still walking?\n Something must be wrong here\n I just don't belong here\n\n I wanted to fly\n But they say a system's coming in\n Chances are high\n That this is a\n One way, one way, one way, one way, one\n\n I wanted to fly\n But they say a system's coming in\n The chances are high\n That this is a\n One way, one way, one\n That this is a\n One way, one way, one\n That this is a\n One way, one way\n (This is a)"",)"
