,lat,lon,,,
"Columbus, OH, USA",39.9622601,-83.0007065,,,
"Kettering, OH, USA",39.6895036,-84.1688274,,,
"Cleveland, OH, USA",41.4996574,-81.6936772,,,
"Canton, OH, USA",40.7985464,-81.3749508,,,
"Middletown, OH, USA",39.516644,-84.4041725,,,
"Bluffton, OH, USA",40.8934459,-83.8917849,,,
"Kent, OH, USA",41.1513108,-81.3578047,,,
"Carroll, OH, USA",40.5250362,-81.0927234,,,
"Kalamazoo, MI, USA",42.291707,-85.5872286,,,
"Chillicothe, OH, USA",39.3331197,-82.9824019,,,
"Cincinnati, OH, USA",39.1014537,-84.5124602,,,
"Dayton, OH, USA",39.7589478,-84.1916069,,,
"Lancaster , PA, USA",40.0379958,-76.3056707,,,
"OSU, OH, USA",40.0811371,-83.0734831,,,
"Athens, OH, USA",39.3575616,-82.0609557,,,
"New York, NY, USA",40.7127281,-74.0060152,,,
"Troy, OH, USA",40.0394982,-84.2032767,,,
"Wilmore, KY, USA",37.8640406,-84.6601993,,,
"nan, nan, nan",29.3644727,112.3905651,,,
"New Albany, OH, USA",40.0811745,-82.8087864,,,
"Zanesville, OH, USA",39.9401426,-82.005019,,,
"Mansfield, OH, USA",40.75839,-82.5154471,,,
"Cambridge, MA, USA",42.3656347,-71.1040018,,,
"Akron, OH, USA",41.083064,-81.518485,,,
"Hartford, CT, USA",41.764582,-72.6908547,,,
"Evansville, IN, USA",37.970495,-87.5715641,,,
"Urbana, OH, USA",40.1083912,-83.7524298,,,
"Bowling Green , OH, USA",41.3747744,-83.6513229,,,
"Fredonia, NY, USA",42.4423544,-79.3321008,,,
"Minster , OH, USA",40.3931033,-84.3760612,,,
"Pontiac, MI, USA",42.6389216,-83.2910468,,,
"South Barrington, IL, USA",42.088522,-88.1484037,,,
"Chicago, IL, USA",41.8755616,-87.6244212,,,
"Lebanon, OH, USA",39.4353373,-84.2029922,,,
"Nashville, TN, USA",36.1622767,-86.7742984,,,
"Monroe, LA, USA",32.5025471,-92.116219,,,
"Shreveport, LA, USA",32.5135356,-93.7477839,,,
"Austin , TX, USA",30.2711286,-97.7436995,,,
"Dallas, TX, USA",32.7762719,-96.7968559,,,
"Tulsa, OK, USA",36.1563122,-95.9927516,,,
"St Louis, MO, USA",38.6254063,-90.190009,,,
"Louisville, KY, USA",38.2542376,-85.759407,,,
"Cedarville, OH, USA",39.7442268,-83.8085372,,,
"Atlanta, GA, USA",33.7544657,-84.3898151,,,
"Avera, GA, USA",33.1940354,-82.5270728,,,
"Ames, IA, USA",42.0267567,-93.6170448,,,
"Jacksonville, FL, USA",30.3321838,-81.655651,,,
"Tampa, FL, USA",27.9449854,-82.4583107,,,
"Pittsburgh, PA, USA",40.4406968,-80.0025666,,,
"Milwaukee, WI, USA",43.0386475,-87.9090751,,,
"Niigata, nan, Japan",37.9122444,139.0613294,,,
"Reading , PA, USA",40.335345,-75.9279495,,,
"Asheville, NC, USA",35.595363,-82.5508407,,,
"Fort Lauderdale, FL, USA",26.1223084,-80.1433786,,,
"Orlando, FL, USA",28.5421218,-81.379045,,,
"Detroit , MI, USA",42.3315509,-83.0466403,,,
"Buffalo, NY, USA",42.8864163,-78.8781493,,,
"Providence, RI, USA",41.8239891,-71.4128343,,,
"Rockville Center, NY, USA",40.6582775,-73.6293861,,,
"Allentown, PA, USA",40.6022552,-75.4716115,,,
"New York City, NY, USA",40.7127281,-74.0060152,,,
"Seoul, nan, South Korea",37.5534363,126.9697994,,,
"Providence , RI, USA",41.8239891,-71.4128343,,,
"Philadelphia, PA, USA",39.9527237,-75.1635262,,,
"Lancaster, PA, USA",40.0379958,-76.3056707,,,
"Indianapolis, IN, USA",39.7683331,-86.1583502,,,
"Urbana, IL, USA",40.1117174,-88.207301,,,
"St. Louis, MD, USA",39.0039482,-77.0464466,,,
"Rochester, NY, USA",43.157285,-77.615214,,,
"Pawtucket, RI, USA",41.8789531,-71.3821203,,,
"Boston, MA, USA",42.3588336,-71.0578303,,,
"Norfolk, VA, USA",36.8493695,-76.2899539,,,
